,Molregno IDs having no smiles
2117,323526
2118,1314762
2119,2166731
2120,1306578
2121,823265
2122,675815
2123,2224104
2124,2255164
2125,872437
2126,1306615
2127,323585
2128,1290242
2129,1363970
2130,2255165
2131,1363974
2132,1363977
2133,167946
2134,167947
2135,167948
2136,1323019
2137,1096611
2138,954384
2139,1380368
2140,1298452
2141,1306644
2142,323608
2143,1298458
2144,192538
2145,2125850
2146,1323045
2147,1323048
2148,1101865
2149,49670
2150,1323058
2151,569396
2152,323644
2153,323645
2154,2134079
2155,1364032
2156,757837
2157,1306702
2158,1003598
2159,1306704
2160,1364050
2161,1290327
2162,1314907
2163,1290334
2164,1323102
2165,168036
2166,938086
2167,1306734
2168,1314928
2169,1290352
2170,315516
2171,1290365
2172,741506
2173,1314948
2174,168070
2175,1314956
2176,192652
2177,217234
2178,217237
2179,1306779
2180,2117791
2181,1290408
2182,192686
2183,1290418
2184,1102005
2185,1323194
2186,1306811
2187,1290430
2188,1315009
2189,897217
2190,868697
2191,880842
2192,1323212
2193,2255173
2194,1011922
2195,1306842
2196,1306844
2197,1417413
2198,82271
2199,2255174
2200,1532271
2201,1306863
2202,938229
2203,938241
2204,1298690
2205,782593
2206,168198
2207,168199
2208,168200
