Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
430,nn_energy_MS_norm,+,0.00249694,0.000821959
431,nn_energy_MS_min,+,0.00249694,0.000821959
432,nn_energy_MS_max,+,0.00249694,0.000821959
433,nn_energy_MS_sum,+,0.00249694,0.000821959
434,nn_energy_MS_mean,+,0.00249694,0.000821959
435,resonance_energy_D1_BS_mean,+,0.00247652,0.00222253
436,exchange_energy_MS_norm,+,0.00244807,0.000752975
437,exchange_energy_MS_min,-,0.00244807,0.000752975
438,exchange_energy_MS_max,-,0.00244807,0.000752975
439,exchange_energy_MS_sum,-,0.00244807,0.000752975
440,exchange_energy_MS_mean,-,0.00244807,0.000752975
441,repulsion_energy_MS_norm,+,0.00238876,0.000886931
442,repulsion_energy_MS_min,+,0.00238876,0.000886931
443,repulsion_energy_MS_max,+,0.00238876,0.000886931
444,repulsion_energy_MS_sum,+,0.00238876,0.000886931
445,repulsion_energy_MS_mean,+,0.00238876,0.000886931
446,pi_pi_bo_D1_BS_max,-,0.0023807,0.00166381
447,sig_pi_bo_D1_BS_min,-,0.00233976,0.004137
448,repulsion_energy_D1_MS_mean,+,0.00227846,0.00173094
449,NA_4_H,+,0.0022676,0.00165981
450,total_ene_D1_BS_norm,+,0.00218166,0.00046278
451,NA_4_D,-,0.0021811,0.00178728
452,total_ene_D1_BS_max,+,0.00215553,0.00142882
453,sig_sig_mulliken_MS_norm,+,0.00214492,0.00109815
454,atom_area_D2_mean,-,0.00213776,0.00276586
455,ne_energy_D1_MS_mean,-,0.0021203,0.00162047
456,nn_energy_BS_norm,+,0.00211178,0.000785544
457,nn_energy_BS_min,+,0.00211178,0.000785544
458,nn_energy_BS_max,+,0.00211178,0.000785544
459,nn_energy_BS_sum,+,0.00211178,0.000785544
460,nn_energy_BS_mean,+,0.00211178,0.000785544
461,active_charge_D2_mean,+,0.00209228,0.00166511
462,NA_3_C,+,0.00204875,0.00147346
463,en_attraction_D2_min,+,0.00201513,0.00112281
464,sig_sig_mulliken_MS_min,-,0.0019688,0.00112805
465,sig_sig_mulliken_MS_max,-,0.0019688,0.00112805
466,sig_sig_mulliken_MS_sum,-,0.0019688,0.00112805
467,sig_sig_mulliken_MS_mean,-,0.0019688,0.00112805
468,pi_pi_mulliken_MS_min,+,0.00194566,0.00120185
469,pi_pi_mulliken_MS_max,+,0.00194566,0.00120185
470,pi_pi_mulliken_MS_sum,+,0.00194566,0.00120185
471,pi_pi_mulliken_MS_mean,+,0.00194566,0.00120185
472,sig_sig_bo_D1_BS_norm,+,0.0019068,0.000634214
473,nn_energy_D1_MS_mean,+,0.00185159,0.00155448
474,PA_2_D,-,0.00183773,0.00321103
475,exchange_energy_D1_MS_min,-,0.00181325,0.0015049
476,fukui_D2_sum,+,0.00174892,0.0013537
477,en_attraction_D2_mean,-,0.0017423,0.00164396
478,NA_1_X,+,0.00162129,0.00592477
479,sig_sig_mulliken_D1_MS_mean,+,0.00158819,0.00176516
480,NA_2_A,+,0.00149818,0.00266178
481,repulsion_energy_D1_BS_min,-,0.00148719,0.00228325
482,PA_4_D,-,0.00143136,0.0030764
483,coulomb_energy_D1_BS_min,+,0.0014264,0.00157896
484,coulomb_energy_D1_BS_mean,-,0.00139461,0.00253812
485,electron_density_D2_mean,-,0.00127448,0.00166729
486,electrophilicity_D2_min,+,0.00124249,0.00373308
487,nn_energy_D1_BS_norm,-,0.00122182,0.00122472
488,sig_pi_bo_MS_norm,+,0.00113353,0.00131766
489,sig_pi_bo_MS_min,+,0.00113353,0.00131766
490,sig_pi_bo_MS_max,+,0.00113353,0.00131766
491,sig_pi_bo_MS_sum,+,0.00113353,0.00131766
492,sig_pi_bo_MS_mean,+,0.00113353,0.00131766
493,nn_energy_D1_BS_min,+,0.00104193,0.00228193
494,NA_1_O,-,0.000916317,0.00199254
495,nn_energy_D1_BS_sum,+,0.000868377,0.00136967
496,repulsion_energy_D1_BS_max,-,0.000854558,0.00192799
497,ee_repulsion_D2_max,+,0.000786227,0.00119932
498,ne_energy_D1_BS_norm,-,0.000670392,0.00125621
499,nn_energy_D1_MS_norm,-,0.000665823,0.000595833
500,electron_density_D2_max,+,0.00064365,0.00185018
501,repulsion_energy_D1_BS_sum,+,0.000582878,0.00131477
502,ne_energy_D1_BS_max,-,0.000523452,0.00232345
503,ne_energy_D1_MS_norm,-,0.000472058,0.000722594
504,repulsion_energy_D1_MS_norm,-,0.000469575,0.000932069
505,ne_energy_D1_BS_sum,-,0.000461479,0.00135147
506,nucleophilicity_D1_norm,+,0.000439429,0.00248893
507,electronic_energy_D2_mean,-,0.000427434,0.00159861
508,PA_4_C,+,0.000418774,0.00314499
509,repulsion_energy_D1_BS_norm,+,0.000399181,0.00133572
510,total_ene_MS_min,-,0.000388964,0.000774633
511,total_ene_MS_max,-,0.000388964,0.000774633
512,total_ene_MS_sum,-,0.000388964,0.000774633
513,total_ene_MS_mean,-,0.000388964,0.000774633
514,pi_pi_bo_MS_norm,+,0.000386032,0.00107661
515,pi_pi_bo_MS_min,+,0.000386032,0.00107661
516,pi_pi_bo_MS_max,+,0.000386032,0.00107661
517,pi_pi_bo_MS_sum,+,0.000386032,0.00107661
518,pi_pi_bo_MS_mean,+,0.000386032,0.00107661
519,pi_pi_mulliken_D1_BS_mean,-,0.00034214,0.00211873
520,sig_pi_mulliken_D1_MS_mean,+,0.000236775,0.00209869
521,pi_pi_mulliken_D1_MS_max,-,0.000198834,0.00146945
522,active_charge_D1_max,+,0.000196096,0.00279324
523,NA_0_-,+,1.85905e-016,2.63463e-017
524,NA_3_+,+,1.13485e-016,1.13026e-017
525,PA_3_+,-,8.95906e-017,1.18093e-017
526,NA_2_+,-,7.87937e-017,1.62904e-017
527,PA_1_+,-,7.18609e-017,9.34066e-018
528,PA_2_-,+,6.37496e-017,8.16683e-018
529,NA_4_-,+,6.2635e-017,9.77286e-018
530,NA_4_+,+,5.26937e-017,9.47102e-018
531,NA_0_+,+,4.52961e-017,6.21449e-018
532,PA_3_-,+,4.39878e-017,6.9133e-018
533,NA_3_-,+,4.28049e-017,8.28666e-018
534,NA_1_-,+,3.95694e-017,8.15318e-018
535,PA_2_+,-,2.84819e-017,4.01518e-018
536,NA_1_+,-,2.157e-017,3.50004e-018
537,NA_2_-,+,2.06108e-017,1.50388e-017
538,PA_4_+,+,1.04796e-017,4.45358e-018
539,PA_1_-,+,1.77132e-018,3.71683e-018
540,PA_4_-,+,4.2372e-019,5.70218e-018
