Rank by Abolute Average Weight, Descriptor Name, Correlation to Regioselectivity, Absolute Average Weight, Variation in Absolute Weight
304,sig_sig_mulliken_D1_MS_max,+,0.0065778,0.00197257
305,ne_energy_D1_MS_min,-,0.00649831,0.00112237
306,ee_repulsion_D1_max,-,0.00642869,0.002538
307,active_charge_D2_norm,+,0.00636609,0.00164604
308,nn_energy_D1_MS_max,+,0.00632853,0.00104037
309,exchange_energy_D1_MS_max,-,0.00627845,0.00123416
310,resonance_energy_D1_BS_norm,+,0.00624629,0.000638796
311,PA_2_H,+,0.00624384,0.00116572
312,coulomb_energy_MS_norm,-,0.00619962,0.00185635
313,sig_sig_mulliken_D1_BS_max,+,0.00618344,0.00123501
314,repulsion_energy_D1_MS_max,+,0.00613243,0.001192
315,PA_2_O,-,0.00600382,0.00282444
316,total_ene_D1_BS_sum,-,0.00599645,0.000908623
317,nn_energy_D1_BS_max,-,0.00591134,0.00148789
318,PA_2_P,+,0.00588176,0.00206496
319,PA_4_N,-,0.00587864,0.00195427
320,total_ene_D1_BS_max,+,0.00585799,0.00102434
321,NA_0_X,+,0.00574289,0.00131613
322,en_attraction_D2_norm,+,0.00571493,0.00128292
323,nucleophilicity_D2_max,+,0.00571187,0.00309773
324,NA_1_X,+,0.00567818,0.0049809
325,NA_2_P,+,0.0056617,0.00205577
326,pi_pi_mulliken_D1_MS_mean,+,0.00558821,0.00382288
327,NA_3_A,-,0.00555218,0.00318655
328,coulomb_energy_MS_min,-,0.00552435,0.00108568
329,coulomb_energy_MS_max,-,0.00552435,0.00108568
330,coulomb_energy_MS_sum,-,0.00552435,0.00108568
331,coulomb_energy_MS_mean,-,0.00552435,0.00108568
332,NA_3_C,+,0.00525722,0.00175792
333,electrophilicity_D2_min,-,0.00522961,0.00315161
334,electronic_energy_D2_norm,+,0.00520489,0.00122672
335,exchange_energy_D1_MS_norm,+,0.00517799,0.00111408
336,nn_energy_D1_BS_mean,-,0.00515088,0.00173343
337,active_charge_D1_max,+,0.00513008,0.00318356
338,coulomb_energy_D1_BS_min,+,0.00508706,0.00159215
339,ne_energy_BS_norm,+,0.00502482,0.000753736
340,ne_energy_BS_min,-,0.00502482,0.000753736
341,ne_energy_BS_max,-,0.00502482,0.000753736
342,ne_energy_BS_sum,-,0.00502482,0.000753736
343,ne_energy_BS_mean,-,0.00502482,0.000753736
344,electrophilicity_D1_max,-,0.00499582,0.00445804
345,fukui_D1_mean,-,0.00497751,0.0018652
346,coulomb_energy_BS_norm,+,0.00494659,0.00208273
347,atom_area_D1_norm,-,0.00490384,0.00249109
348,bond_degree_MS_norm,+,0.0048699,0.00176091
349,bond_degree_MS_min,+,0.0048699,0.00176091
350,bond_degree_MS_max,+,0.0048699,0.00176091
351,bond_degree_MS_sum,+,0.0048699,0.00176091
352,bond_degree_MS_mean,+,0.0048699,0.00176091
353,exchange_energy_D1_BS_norm,+,0.00481229,0.000651928
354,sig_pi_bo_D1_BS_min,-,0.00471313,0.00478432
355,NA_2_C,-,0.00471233,0.00211177
356,bond_degree_D1_MS_norm,+,0.0047059,0.00233297
357,PA_2_X,+,0.00468868,0.00180329
358,electrophilicity_D2_sum,-,0.00466157,0.00382501
359,total_ene_D1_BS_mean,+,0.0045756,0.0017378
360,sig_pi_mulliken_BS_min,-,0.00451365,0.00287169
361,sig_pi_mulliken_BS_max,-,0.00451365,0.00287169
362,sig_pi_mulliken_BS_sum,-,0.00451365,0.00287169
363,sig_pi_mulliken_BS_mean,-,0.00451365,0.00287169
364,resonance_energy_D1_BS_max,+,0.00441644,0.000967831
365,nucleophilicity_D1_norm,+,0.00426503,0.00259403
366,bond_degree_D1_BS_mean,-,0.00423982,0.00167
367,resonance_energy_BS_norm,+,0.00416604,0.00136533
368,resonance_energy_BS_min,-,0.00416604,0.00136533
369,resonance_energy_BS_max,-,0.00416604,0.00136533
370,resonance_energy_BS_sum,-,0.00416604,0.00136533
371,resonance_energy_BS_mean,-,0.00416604,0.00136533
372,NA_4_X,-,0.00412602,0.00152598
373,sig_pi_bo_BS_norm,+,0.00409031,0.00195389
374,sig_pi_bo_BS_min,+,0.00409031,0.00195389
375,sig_pi_bo_BS_max,+,0.00409031,0.00195389
376,sig_pi_bo_BS_sum,+,0.00409031,0.00195389
377,sig_pi_bo_BS_mean,+,0.00409031,0.00195389
378,NA_4_H,+,0.0040098,0.00152963
