ID,SMILES,LOAEL [mg/kg_bw/day]
697,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.6
698,COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl,50
699,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,0.01
700,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,25
701,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,100
702,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.25
706,CC(=CC(=O)NC)OP(=O)(OC)OC,0.45
709,CC(C)C1(C)N=C(NC1(=O))c3nc2ccccc2cc3C(=O)(O),20
710,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,50
715,CC(C(=O)O)(Cl)Cl,50
717,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,7.5
718,O=C(NC)CSP(OC)(OC)=S,5
722,C12C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl,0.01
723,COC(=O)C1=CC=CC=C1C(=O)OC,2000
724,CCOP(=S)(OCC)SCSC(C)(C)C,0.05
725,CCC(C)SP(=O)(OCC)SC(C)CC,0.25
726,CCOP(=S)(OCC)SCSC(C)(C)C,2
728,C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl,5
729,O=C(O)C(C(C(=O)O)C(O1)CC2)C12,115
731,O=C(Oc(c(OC(C1)(C)C)c1cc2)c2)NC,5
735,Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl,5
738,CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,21.5
739,CCC(C)N1C(=O)C(=C(NC1=O)C)Br,62.5
740,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,1.5
743,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,12.5
744,CC1=NN(C(=O)N1C(F)F)C2=CC(=C(C=C2Cl)Cl)NS(=O)(=O)C,67
746,CCOP(=S)(CC)SC1=CC=CC=C1,5
747,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=CC=CC=C2C1=O,2.5
748,N1CC(C)(C)CNC1=NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc3ccc(C(F)(F)F)cc3,5
749,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,4.6
750,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,10.2
751,S=P(OC)(OC)SCN1C(=O)SC(OC)=N1,0.8
752,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,12.5
753,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),2.25
754,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F,79.9
755,O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,40
758,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,13.8
759,O=C(ON=CC(SC)(C)C)NC,0.1
760,ClC(Cl)(Cl)CC1(OC1)c2cc(Cl)cc(Cl)c2,30
762,CCC1CCCC(C(C(=O)C2CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5CC(C(C(C5OC)OC)OC)C)C)OC6CCC(C(O6)C)N(C)C,24
763,CC(C)(C)C(=NOC(=O)NC)CSC,6
764,CON=C(CC1=CN=CC=C1)C2=C(C=C(C=C2)Cl)Cl,45
765,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C,250
766,C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,10
767,CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC,250
768,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC3COC3)C,83
769,C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl,36
770,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,13.6
771,CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC,3.63
772,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,15
773,CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C,50
774,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl,3
776,CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,44.2
777,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,12
778,CC(C)=CC3C(C(=O)OCc2coc(Cc1ccccc1)c2)C3(C)C,125
779,CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC,11.5
781,CC1=CC(=C(C(=C1)OC(=O)NC)C)C,59.2
782,CC1=CC=CC=C1COC2CC3(CCC2(O3)C)C(C)C,150
785,CC1=C2C(=CC=C1)SC3=NN=CN23,31
786,CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl,100
787,CCCN(CCC)C(=O)SCC,9
788,CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,46
789,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.75
790,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,46.3
791,CCSC(=O)N(CC(C)C)CC(C)C,100
793,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,15
794,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,150
795,CC1=CC(=CC(=C1C)C)OC(=O)NC,10
796,CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl,1
797,C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O,100
798,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,2
800,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],125
802,CCCC(=NOCC)C1C(=O)CC(CC1=O)CC(C)SCC,16.56
803,ClC2(Cl)C4(Cl)C1(Cl)C5(Cl)C(Cl)(Cl)C3(Cl)C1(Cl)C2(Cl)C3(Cl)C45Cl,0.7
804,CCN(C1CCCCC1)C(=O)SCC,3
805,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,220.8
806,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,500
808,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,95
809,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,6.48
810,C1=NNC(=N1)N,2.5
811,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F,26
812,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,2.5
