"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1909165",0.869047369774251,0.901580642427324,0.878278746026761,0.916255134141121,0.93744483046206
"CHEMBL1909211",0.918613408425321,0.944969579765818,0.912546630414969,0.921990498009307,0.927998928782628
"CHEMBL1909214",0.625703926383814,0.789443526226711,0.732981768130962,0.866560401401455,0.742884522058197
"CHEMBL1909184",0.70591119569793,0.614545395255628,0.848704853267561,0.572744466776946,0.787892049036639
"CHEMBL2354308",0.558876901794969,0.62404459626474,0.567901982406274,0.53071402828667,0.609195556107413
"CHEMBL1909181",0.590224383134831,0.794485141033649,0.789326051919335,0.682514241562749,0.811064940449269
"CHEMBL1909141",0.902476507696527,0.920012035428192,0.915988145922468,0.907413496800308,0.918493853918519
"CHEMBL1909171",0.942864899421596,0.95439661665581,0.944670421337146,0.910369202649506,0.953766138319689
"CHEMBL1909150",0.97273490574754,0.987052119993296,0.984835196869165,0.988307170827883,0.991418225289393
"CHEMBL1909131",0.926662187270552,0.958621100065967,0.905714139402352,0.922446834956341,0.931774880520128
"CHEMBL1963699",0.796971469432518,0.785920668286466,0.797734595627272,0.734697551715368,0.787840390311788
"CHEMBL1909106",0.927191443228772,0.958372873228123,0.909669751627416,0.965479422513628,0.932265077803183
"CHEMBL1909105",0.898682486150758,0.910827460888894,0.888064627868244,0.901381170119667,0.908090618471049
"CHEMBL1909142",0.913701518852682,0.914838683702822,0.96948209790117,0.903857817123046,0.944011529865697
"CHEMBL1963829",0.757904803926075,0.800327385196269,0.741270652175186,0.779264632475841,0.743822890506616
"CHEMBL1963781",0.674592159805298,0.721336974584254,0.678888501761979,0.715819884888944,0.718253074773546
"CHEMBL1909091",0.913272784286623,0.981767477074336,0.964917222769208,0.965941331254207,0.95214797681705
"CHEMBL1909145",0.943441943881846,0.985479196903637,0.979625892515779,0.966749397717335,0.979108629034802
"CHEMBL1963691",0.711585430887465,0.759089772358831,0.727375004310327,0.742313991173936,0.729429137289088
"CHEMBL1909090",0.894427979039908,0.906921244917141,0.897937789883007,0.87934716086269,0.907775299677327
"CHEMBL1909205",0.896274922133201,0.94717459290413,0.880952739663751,0.759147022876874,0.878510772366749
"CHEMBL1909121",0.960271529636246,0.972539757816599,0.954653470468809,0.93829429194713,0.967756881283564
"CHEMBL1963719",0.790807775334026,0.77437144526624,0.777509732613202,0.754173115928578,0.796936999617151
"CHEMBL1963703",0.747731757906177,0.783755787522218,0.785968434161053,0.762460463926591,0.796620513796955
"CHEMBL1909148",0.63236161986162,0.805776630776631,0.531333943833944,0.809457903207903,0.545389332889333
"CHEMBL1738578",0.63516316251623,0.711783767096814,0.638911409633207,0.652767925536734,0.621154273816112
"CHEMBL1963837",0.783380157627424,0.816938285274932,0.796447561685937,0.792268915588013,0.794717024582011
"CHEMBL1909138",0.876625001620236,0.910425237810991,0.882717416359603,0.877104519422585,0.921334228935118
"CHEMBL1738682",0.483554324586852,0.519837532053937,0.538003665884751,0.527579477852542,0.537630529641723
"CHEMBL1963740",0.728367249458928,0.754089298572565,0.717975810044631,0.724316803310143,0.722523156374361
"CHEMBL1963722",0.800936537262556,0.840120754599454,0.840978583470579,0.806171911014324,0.84238084764225
"CHEMBL1963832",0.805481497799979,0.83273103814032,0.827227331282147,0.821448714591792,0.844568897953101
"CHEMBL1963775",0.747457318141016,0.754809604000819,0.698074442910187,0.707935026340888,0.695078037947367
"CHEMBL1909092",0.918432907204912,0.944730157165185,0.94126140106612,0.950440401334144,0.938804791099161
"CHEMBL1909157",0.930610194186818,0.925455122471158,0.901638316913569,0.926678008484919,0.895105527181077
"CHEMBL1909134",0.748484005650348,0.775404863581475,0.78945717194096,0.768179025668801,0.767805446761257
"CHEMBL1909111",0.942400616291368,0.931161881309463,0.915008660669691,0.910826950849043,0.928624329341835
"CHEMBL1909108",0.893204450019728,0.915896772086115,0.890473392067127,0.895046011182046,0.913640897453173
"CHEMBL1909085",0.901868850017024,0.932921773243402,0.900671963076457,0.914511312293616,0.909763585561338
"CHEMBL1909086",0.935330155679375,0.957712515300226,0.933234428793911,0.951845707651854,0.93435602376413
