,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
98,CHEMBL195629,CHEMBL881287,327121,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,849.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(ccc2c1)n3ccnc3
99,CHEMBL193556,CHEMBL881287,327168,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,6338.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,c1ccc2ncc(cc2c1)n3ccnc3
100,CHEMBL370822,CHEMBL881287,327202,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,207.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,c1ccc2cc(ccc2c1)c3cnc[nH]3
101,CHEMBL193653,CHEMBL881287,327105,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,805.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,o1cncc1c2ccc3ccccc3c2
102,CHEMBL157101,CHEMBL881287,255904,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,224.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
103,CHEMBL9298,CHEMBL881287,4920,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,=,10.0,nM,IC50,,30235,76,PROTEIN,SINGLE PROTEIN,9,N#Cc1ccc(cc1)C2CCCc3cncn23
104,CHEMBL197150,CHEMBL884698,326913,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,30235,76,PROTEIN,SINGLE PROTEIN,9,CCCOc1ccc2cc(ccc2c1)c3cccnc3
105,CHEMBL194565,CHEMBL884698,326953,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,30235,76,PROTEIN,SINGLE PROTEIN,9,C(Oc1ccc2cc(ccc2c1)c3cccnc3)c4ccccc4
106,CHEMBL197723,CHEMBL884698,327031,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2cc(ccc2c1c3cccnc3)c4cccnc4
107,CHEMBL193863,CHEMBL884698,326984,Cytochrome P450 11B1,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,30235,76,PROTEIN,SINGLE PROTEIN,9,COc1ccc2ccc(cc2c1)c3cccnc3
