,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
703,CHEMBL3972001,CHEMBL3882753,2181372,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CC(=O)N[C@@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c5cncc(c5)C(F)(F)F)[C@@H]3CC=C2C1
704,CHEMBL3907455,CHEMBL3882753,2116826,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](CC[C@]34C)NC(=O)C5CCC5)[C@@H]1CC=C2n6ccnc6
705,CHEMBL3960196,CHEMBL3882753,2169567,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CC(=O)O[C@H]1CC[C@@]2(C)C(CC[C@@H]3[C@@H]2CC[C@@]4(C)C3=CC=C4c5cnccc5C)C1
706,CHEMBL3904457,CHEMBL3882753,2113828,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CN(C)CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)C(=CC=C4c5cccnc5)[C@@H]3CC=C2C1
707,CHEMBL3974234,CHEMBL3882753,2183605,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,COC1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CC=C4c5cccnc5)C1
708,CHEMBL3986794,CHEMBL3882753,2196165,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,CC1C[C@H]2[C@@H]3CCC(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]5(C)C=CC(=O)C=C15
709,CHEMBL3901395,CHEMBL3882753,2110766,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Determined,102409,11542,PROTEIN,SINGLE PROTEIN,9,CN1CC[C@]2(C)[C@H]3CC[C@@]4(C)C(=CC=C4c5cncc(F)c5)[C@@H]3CCC2=CC1=O
710,CHEMBL3980490,CHEMBL3882753,2189861,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CCC(=O)C=C1C(CO)C[C@@H]3[C@@H]2CC[C@@]4(C)C3=CC=C4c5cccnc5
711,CHEMBL3903383,CHEMBL3882753,2112754,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,,,,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CCC1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC=C3c4cncc(F)c4)[C@@]5(C)CCC(=O)C=C15
712,CHEMBL3967361,CHEMBL3882753,2176732,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](C4CC4C5=CC(=O)NCC[C@]35C)[C@@H]1CC=C2c6cncc(F)c6
713,CHEMBL3981088,CHEMBL3882753,2190459,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](CC(F)C4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cncc(F)c5
714,CHEMBL3920290,CHEMBL3882753,2129661,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](CC(F)C4(O)CC(=O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5
715,CHEMBL3891870,CHEMBL3882753,2101241,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,=,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC[C@H]3[C@@H](CC4(CC4)C5=CC(=O)NCC[C@]35C)[C@@H]1CC=C2c6cccnc6
716,CHEMBL3941526,CHEMBL3882753,2150897,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,<,10.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,CC1(C)C(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c5cccnc5)[C@@H]3CC=C12
717,CHEMBL3982662,CHEMBL3882753,2192033,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,C[C@]12CC\C(=N/O)\C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)C3=CC=C4c5cccnc5
718,CHEMBL3903145,CHEMBL3882753,2112516,Cytochrome P450 21,Homo sapiens,Homo sapiens,D,>=,50.0,%,Inhibition,,102409,11542,PROTEIN,SINGLE PROTEIN,9,COc1cncc(c1)C2=CC[C@H]3[C@@H]4CC=C5C[C@@H](CC[C@]5(C)[C@H]4CC[C@]23C)NC(=O)C6CC6
