training set:,,,,,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,logBB_svm,logBB_ann,HDon_N,XlogP,TPSA,RDF_PiChg_13,RDF_PiChg_33,RDF_PiChg_46,RDF_PiChg_58,RDF_TotChg_110,RDF_TotChg_121,RDF_SigEN_25,RDF_PiEN_37,RDF_PiEN_56,RDF_PiEN_93,RDF_Polariz_38
191,-0.11,-0.0844,-0.0597,0.0381,0,0.456639,17.07,-0.005106,0,0,0,0,0,154.897,0,0,0,0.447968
193,0.578,0.2524,0.2581,0.283,0,3.93944,23.55,-0.013231,0,0.0001018,0,0.010679,0.017036,1879.24,111.899,0.200526,26.056,1107.84
194,-0.34,0.0406,0.0712,0.0518,2,2.11896,46.33,-0.021983,-0.002127,0.0051817,0.0012815,0,0,1256.58,237.582,103.312,0,962.072
196,0.3,-0.1594,-0.1927,-0.114,1,6.36037,41.99,-0.017277,-0.005591,-0.003082,-0.001253,0.0001168,3.62E-07,2234.19,356.399,127.763,150.881,1731.71
197,0.34,0.1104,0.0841,0.141,1,2.11024,32.34,-0.01308,-0.000102,2.00E-05,0,0,0,1052.49,107.648,0.337481,0,675.762
198,0.4,0.2371,0.2174,0.223,0,2.97003,37.3,-0.00475,3.95E-08,0,0,0.0006773,0,1725.71,20.3346,0,12.6357,1141.15
199,-0.3083,-0.4319,-0.378,-0.321,0,-2.04855,65.34,-0.079935,-0.005411,0.0818246,-4.67E-06,0,0,1007.55,129.803,17.281,0,259.54
201,-0.06,0.0427,0.0477,-0.0131,1,1.81325,66.48,-0.044133,-0.001921,0.0418893,0.0005705,0,0,1544.02,200.827,31.8004,0,513.346
203,0.06,-0.3438,-0.2736,-0.355,1,-0.571627,67.23,-0.050739,-0.001161,0.0710708,-0.009105,0,0,654.599,120.754,15.4872,0,212.462
204,-0.348,0.0139,0.1103,-0.0301,0,0.357388,33.2,-0.022131,0.0042985,-0.009016,-0.002292,0,0,755.67,24.5196,93.6682,0,256.996
205,0.48,-0.1653,-0.122,0.00294,0,2.21096,69.64,-0.044707,-0.000701,0.0136375,0,0.058123,0.0045974,2287.01,20.1429,0,36.9411,678.441
206,-0.52,0.1115,0.0826,-0.122,0,3.67956,40.62,0.0098655,-0.002484,-0.001907,0.0197089,0.002276,0,1695.21,297.652,28.719,0,492.428
208,0,-0.0315,-0.022,-0.12,0,1.6256,26.79,-0.003368,-0.002487,0.0056239,-0.00033,0,0,1042.92,219.788,27.2828,0,413.642
