training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
233,-1.6,-1.6086,0,-3.88259,121.38,2.85E-06,26,0,0,0,0.924211,0,10.6618,0
234,0.11,-0.0107,0,0.79643,20.23,1.49304,15,0,0,0,0.15233,0,0,0
236,0.04,-0.3131,2,0.573941,63.32,5.13878,29,0,-0.000491,0.0006551,0.538077,0,66.0334,0
242,-0.23,-0.161,0,-0.235987,20.23,1.47285,8,0,0,0,0.169294,0,0,0
243,-0.16,-0.0257,0,0.566656,20.23,1.41128,15,0,0,0,0.158167,0,0,0
246,-0.023,-0.0048,0,0.807053,20.23,1.40411,15,0,0,0,0.158147,0,0,0
248,0.697,0.4312,0,3.9921,20.23,1.1247,31,0,-0.000256,-0.000534,0.166945,0,0,0
250,-0.77,-1.1491,2,-1.7565,103.78,2.25149,25,0.24035,-0.001944,-0.003291,0.823451,0,235.984,0
251,0,0.4406,0,3.24783,23.47,1.15222,42,0.0033242,-0.000274,-0.000506,0.250162,0,10.8544,0
252,0.544,0.5108,0,3.71202,23.47,1.34952,48,0.001112,-0.000274,-0.000507,0.259853,0.0078157,134.539,68.7878
254,-0.12,0.2091,0,4.10327,40.46,1.82926,33,0.0537943,-0.000922,0.0005669,0.312014,0.126343,271.58,75.5608
255,-1.165,-0.2928,1,1.44314,72.72,2.09104,38,-0.036975,-0.000379,-0.000706,0.551201,0,15.7936,0
257,-1.1203,-0.4451,0,2.2083,57.53,3.33649,16,0,-0.00938,0.0012607,0.599773,0,0,0
258,-0.602,-0.0622,3,0.419796,49.87,1.78523,11,0,0,0,0.473236,0,0,0
259,-1.42,-1.2973,2,-0.419818,84.93,10.7095,33,0.0348653,-0.055503,-0.140131,1.58088,0.0822065,191.627,191.732
