,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
100,180431,CHEMBL3301612,CHEMBL3991682,1763574,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
101,180432,CHEMBL1614707,CHEMBL3991682,1037718,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
102,180433,CHEMBL3301610,CHEMBL3991682,1763572,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
103,180434,CHEMBL2105728,CHEMBL3991682,1377998,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
104,180435,CHEMBL3218575,CHEMBL3991682,1724956,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
105,180436,CHEMBL3120215,CHEMBL3991682,1619524,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
106,180437,CHEMBL1090090,CHEMBL3991682,619385,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
107,180438,CHEMBL2133806,CHEMBL3991682,1405757,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
108,180439,CHEMBL1950289,CHEMBL3991682,1279264,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
109,180440,CHEMBL2180604,CHEMBL3991682,1441421,Homo sapiens,Homo sapiens,D,>,30000.0,nM,Kd apparent,Inactive,103566,117580,PROTEIN,SINGLE PROTEIN,9,"Cytochrome c1, heme protein, mitochondrial"
