,compound_id,assay_id,compound_molregno,pref_name,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,smiles
70,CHEMBL3347551,CHEMBL3391327,1796982,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,32000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cccs4
71,CHEMBL3347550,CHEMBL3391327,1796981,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,20000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CCCCCN1[C@@H](CC(=C)C)[C@H]2c3c(Br)cccc3[C@@H]1CC2(C)C
72,CHEMBL3347549,CHEMBL3391327,1796980,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,51000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cccc(F)c4
73,CHEMBL3347543,CHEMBL3391327,1796974,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,12000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4cc(C)on4
74,CHEMBL3347542,CHEMBL3391327,1796973,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,40000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4ccc5OCOc5c4
75,CHEMBL3347525,CHEMBL3391327,1796956,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4c[nH]c5ccccc45
76,CHEMBL3347524,CHEMBL3391327,1796955,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc4ccnc5ccccc45
77,CHEMBL3347503,CHEMBL3391327,1796934,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,30000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@H]1[C@H]2c3ccccc3[C@H](CC2(C)C)N1Cc4cccc(F)c4
78,CHEMBL3347502,CHEMBL3391327,1796933,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,=,78000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c3c(Br)cccc23
79,CHEMBL3347501,CHEMBL3391327,1796932,Cytochrome b-245 heavy chain,Homo sapiens,Homo sapiens,D,>,100000.0,nM,IC50,,85884,103629,PROTEIN,SINGLE PROTEIN,9,CC(=C)C[C@@H]1N[C@H]2CC(C)(C)[C@@H]1c3ccccc23
